company,heading,position,image,employees,link,website,social_links,location,company_size,total_raised,skills,founders,founder_links,funding,culture
Private AI                         ,"Detect, Redact, & Replace Personally Identifiable Information With 99.5%+ Accuracy*                 ",Back End Developer                                           ,https://photos.angel.co/startups/i/8229955-a22d3c0c0c146cfb6af983ded3033f0f-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/private-ai-1             ,http://private-ai.com                                                    ,"['http://private-ai.com/blog/', 'https://twitter.com/_privateai']                                                                                                                                                                                                                            ",['Toronto']                                          ,11-50 people    ,$8M                                                                             ,"['Big Data', 'Artificial Intelligence', 'Customer Experience']                                                                                                                                                                                                                                     ","['Patricia Thaine', 'John Stocks']            ","['https://angel.co/u/patricia-thaine-2', 'https://angel.co/u/john-stocks-1']         ","['$8M', '1 round', 'Series A (Nov 2022)']     ",[]
Back Market                        ,"Marketplace dedicated to refurbished devices (Phones, electronic devices, etc..)                    ",Senior Software Engineer Platform                            ,https://photos.angel.co/startups/i/6434394-88efcb184e21b96f985f38188f4b2dae-medium_jpg.jpg,501-1000 employees ,https://angel.co/company/back-market-4            ,http://backmarket.com                                                    ,['https://www.linkedin.com/company/back-market/']                                                                                                                                                                                                                                              ,['Paris']                                            ,501-1000 people ,$41M                                                                            ,"['Mobile', 'E-Commerce']                                                                                                                                                                                                                                                                           ",                                                ,                                                                                       ,                                                ,
Tonic                              ,"Mimicking production data for safe, effective use in testing and development                        ",Software Engineer (Mid-Staff Levels)                         ,https://photos.angel.co/startups/i/6238714-ee81a5572c35cd555d1abb5f98e94f60-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/tonic-ai                 ,http://www.tonic.ai                                                      ,"['https://www.tonic.ai/blog/', 'https://twitter.com/tonicfakedata', 'https://www.linkedin.com/company/tonicfakedata/']                                                                                                                                                                       ","['Atlanta', 'New York City', 'San Francisco']      ",51-200 people   ,Enterprise Software Company                                                     ,"['Enterprise Software Company', 'SaaS', 'Enterprise Software', 'Data Privacy']                                                                                                                                                                                                                     ",                                                ,                                                                                       ,                                                ,
Skylark Drones                     ,Our mission is to unlock the economic potential of the skies                                          ,Full stack developer                                         ,https://photos.angel.co/startups/i/750201-7e1eae8705e566fd1b44999582be236e-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/skylark-drones           ,http://www.skylarkdrones.com                                             ,"['http://www.skylarkdrones.com', 'https://twitter.com/skylarkdrones', 'https://www.facebook.com/skylarkdrones?ref=br_rs', 'https://www.linkedin.com/company/3781673?trk=vsrp_companies_res_name&trkinfo=vsrpsearchid%3a4108146721436250428386%2cvsrptargetid%3a3781673%2cvsrpcmpt%3aprimary']",['Bengaluru']                                        ,11-50 people    ,$3M                                                                             ,"['Startup', 'Solar', 'Agriculture', 'Utilities', 'Minerals', 'Infrastructure Monitoring']                                                                                                                                                                                                          ","['Mughilan Thiru Ramasamy', 'Mrinal Pai']     ","['https://angel.co/u/mughilan-thiru-ramasamy', 'https://angel.co/u/mrinalpai']       ","['$3M', '1 round', 'Series A (Jul 2021)']     ",[]
Testbook                           ,Exam Preparation Simplified                                                                           ,Sr.Golang Developer                                          ,https://photos.angel.co/startups/i/196223-c169255859f156e386bb1d932fa15cf7-medium_jpg.jpg ,501-1000 employees ,https://angel.co/company/testbook                 ,https://testbook.com                                                     ,"['https://testbook.com/blog', 'http://twitter.com/testbookdotcom', 'https://www.facebook.com/testbookdotcom/', 'https://www.linkedin.com/company/testbook-com', 'https://www.producthunt.com/posts/testbook']                                                                                ","['Mumbai', 'Navi Mumbai']                          ",501-1000 people ,Startup                                                                         ,"['Startup', 'Education', 'K-12 Education', 'Tutoring']                                                                                                                                                                                                                                             ",                                                ,                                                                                       ,                                                ,
Applied Intuition                  ,"Safely develop, test, and deploy autonomous vehicles at scale                                       ",Product Application Engineer - New Grad                      ,https://photos.angel.co/startups/i/4655945-7dc3f6ce467425d5b7d6ac72263f0540-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/applied-intuition        ,https://appliedintuition.com                                             ,"['https://blog.applied.co/', 'https://twitter.com/appliedint?lang=en', 'https://www.facebook.com/appliedint/', 'https://www.linkedin.com/company/applied-intuition-inc/']                                                                                                                    ","['Detroit', 'Washington DC', 'Mountain View']      ",51-200 people   ,$351.5M                                                                         ,"['Enterprise Software', 'Infrastructure', 'Automotive', 'Software', 'Hybrid Vehicles']                                                                                                                                                                                                             ",                                                ,                                                                                       ,                                                ,
OpenFin                            ,The most future-proof financial software suite for instant distribution and unmatched security        ,Software Engineer                                            ,https://photos.angel.co/startups/i/275662-214d51f4d317e983b154c5c4da114e60-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/openfin                  ,http://openfin.co/                                                       ,"['https://openfin.co/blog/', 'https://twitter.com/openfintech', 'https://www.facebook.com/openfintech/', 'https://www.linkedin.com/company/openfin/']                                                                                                                                        ","['New York City', 'London', 'New York']            ",51-200 people   ,$22M                                                                            ,"['Startup', 'SaaS', 'Finance', 'Application Platforms', 'Web Browsers', 'Web Development', 'Fin Tech']                                                                                                                                                                                             ","['Mazy Dar', 'Chuck Doerr']                   ","['https://angel.co/p/mazy-dar', 'https://angel.co/u/chuck-doerr']                    ","['$22M', '3 rounds', 'Series B (Feb 2017)']   ","['Healthcare', '401k', 'Pto', 'Snacks and beer', 'Events']"
Determined AI                      ,"Deep learning in hours and minutes, not days and weeks                                              ",ML Developer Advocate                                        ,https://photos.angel.co/startups/i/4763048-38636dc9f3a81272e6e8919023c35a39-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/determined-ai-1          ,http://determined.ai                                                     ,"['https://twitter.com/determinedai', 'https://www.facebook.com/determinedai/', 'https://www.linkedin.com/company/determined-ai/']                                                                                                                                                            ","['San Francisco', 'Remote']                        ",51-200 people   ,$13.6M                                                                          ,"['Machine Learning', 'Artificial Intelligence', 'Developer Tools', 'Distributed Systems', 'Deep Learning']                                                                                                                                                                                         ","['Neil Conway', 'Evan Sparks']                ","['https://angel.co/u/neil-conway', 'https://angel.co/u/evan-sparks']                 ","['$13.6M', '2 rounds', 'Series A (Mar 2019)'] ","['Healthcare', 'Maternal/paternal leave', 'Remote work', 'Vacation', 'Company retreats']"
The CareVoice                      ,Health Insurtech to bring better healthcare experience to insurance members                           ,[Urgent] Senior Java Developer / [紧急] 高级JAVA开发               ,https://photos.angel.co/startups/i/383806-f7ab162bf87b4d8d514e29ed4b672243-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/the-carevoice            ,http://www.thecarevoice.com                                              ,"['https://www.facebook.com/thecarevoicechina/', 'https://www.linkedin.com/company/the-carevoice-ltd/']                                                                                                                                                                                       ","['Hong Kong', 'Shanghai']                          ",11-50 people    ,$13.1M                                                                          ,"['Startup', 'Early Stage', 'Healthcare Technology', 'SaaS', 'Mobile App', 'Internet', 'Health And Medicine', 'SaaS', 'Application Platforms', 'Internet of Things', 'Mobile Application', 'B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning']                                      ",                                                ,                                                                                       ,                                                ,
DISQO                              ,DISQO is an insights platform connecting brands and people to improve every customer experience       ,Software Engineer (PHP) (Remote - US)                        ,https://photos.angel.co/startups/i/6748267-140d2b540711f16159e79a80fdc5aaad-medium_jpg.jpg,201-500 employees  ,https://angel.co/company/disqo                    ,http://disqo.com/                                                        ,['https://www.linkedin.com/company/disqo/']                                                                                                                                                                                                                                                    ,"['Los Angeles', 'Finland', 'Yerevan']              ",201-500 people  ,$101.5M                                                                         ,['Data']                                                                                                                                                                                                                                                                                             ,                                                ,                                                                                       ,                                                ,
Mission Lane                       ,Build your credit with our card. Includes Visa coverage and a mobile app                              ,Site Reliability Engineer (Remote Friendly)                  ,https://photos.angel.co/startups/i/7235769-55f9ebb013bbf3c82af1561f12a20913-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/mission-lane             ,https://www.missionlane.com/                                             ,"['https://twitter.com/mission_lane', 'https://www.facebook.com/missionlanecredit', 'https://www.linkedin.com/company/missionlane/about/']                                                                                                                                                    ","['San Francisco', 'Richmond']                      ",51-200 people   ,$500M                                                                           ,"['Financial Services', 'Finance', 'Credit']                                                                                                                                                                                                                                                        ",                                                ,                                                                                       ,                                                ,
Shiprocket                         ,India's #1 eCommerce Shipping Platform Empowering over 1 Lakh Indian eCommerce Sellers                ,Backend Developer                                            ,https://photos.angel.co/startups/i/241036-f5e883b9db2cec1b1753e2d1fd267dd2-medium_jpg.jpg ,501-1000 employees ,https://angel.co/company/kartrocket               ,https://www.shiprocket.in/                                               ,['https://www.linkedin.com/company/shiprocket/']                                                                                                                                                                                                                                               ,['Delhi']                                            ,501-1000 people ,$53.5M                                                                          ,"['Internet', 'E Commerce', 'Logistics']                                                                                                                                                                                                                                                            ","['Vishesh Khurana', 'Saahil Goel']            ","['https://angel.co/p/vishesh-khurana', 'https://angel.co/u/saahilgoel']              ","['$53.5M', '6 rounds', 'Series C (Feb 2021)'] ",[]
Kira Talent                        ,The world’s only holistic admissions solution for higher education                                    ,Web Developer                                                ,https://photos.angel.co/startups/i/97584-be635ecd81ccfa1b4d395d7fb938956f-medium_jpg.jpg  ,11-50 employees    ,https://angel.co/company/kira-talent-1            ,http://www.kiratalent.com                                                ,"['http://blog.kiratalent.com', 'https://twitter.com/kiratalent', 'https://www.facebook.com/kiratalent', 'https://www.linkedin.com/company/kira-talent/']                                                                                                                                     ",['Toronto']                                          ,11-50 people    ,$8.5M                                                                           ,"['Startup', 'SaaS', 'SaaS', 'Education', 'Academic ', 'College Admissions']                                                                                                                                                                                                                        ",['Emilie Cushman']                              ,['https://angel.co/u/emiliecushman']                                                   ,"['$8.5M', '4 rounds', 'Series A (Aug 2016)']  ",[]
Blocknative                        ,Blocknative is the leading provider of real-time infrastructure for Web3                              ,DevOps/SRE Engineer                                          ,https://photos.angel.co/startups/i/8633325-509dc23a02cc0aa26471ae5a990f36af-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/blocknative-1            ,https://www.blocknative.com/                                             ,[]                                                                                                                                                                                                                                                                                             ,['Remote']                                           ,11-50 people    ,$15M                                                                            ,"['Blockchain / Cryptocurrency', 'Web3']                                                                                                                                                                                                                                                            ",                                                ,                                                                                       ,                                                ,
Ai Palette                         ,AI for Food FMCG Product Innovation                                                                   ,Senior Backend Developer                                     ,https://photos.angel.co/startups/i/6782475-6b1a85507e6df725813dac8eaa4c497d-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/ai-palette               ,https://www.aipalette.com/                                               ,"['https://medium.com/ai-palette', 'https://www.facebook.com/aipalette', 'https://www.linkedin.com/company/aipalette/']                                                                                                                                                                       ",['Singapore']                                        ,51-200 people   ,$5.5M                                                                           ,"['Machine Learning', 'Artificial Intelligence', 'Computer Vision', 'Fast-Moving Consumer Goods', 'Big Data Analytics', 'Food Tech']                                                                                                                                                                ","['Himanshu Upreti', 'Somsubhra GanChoudhuri'] ","['https://angel.co/u/himanshu-upreti-4', 'https://angel.co/u/somsubhra-ganchoudhuri']","['$5.5M', '2 rounds', 'Series A (Aug 2021)']  ","['Hospital insurance & outpatient', 'Maternity & paternity leaves', 'Esop']"
Madison Reed                       ,"At home hair color with ammonia free hair dye, that results in beautiful, healthy and natural hair  ",Sr. DevOps Engineer - AWS (Remote)                           ,https://photos.angel.co/startups/i/206683-8a07cfe1515486b319d37bc0bbec6de3-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/madison-reed             ,http://www.madison-reed.com                                              ,"['https://twitter.com/madisonreedllb', 'http://www.facebook.com/madisonreedllb', 'http://www.linkedin.com/company/madison-reed']                                                                                                                                                             ","['San Francisco', 'San Francisco Bay Area']        ",201-500 people  ,$130.8M                                                                         ,"['Startup', 'E-Commerce', 'Consumer Goods', 'Retail', 'Retail Technology', 'Beauty', 'Corporate Wellness', 'Cosmetics']                                                                                                                                                                            ",                                                ,                                                                                       ,                                                ,
Rocketbox                          ,Rapidly Growing Indian Logistics Startup                                                              ,Frontend Developer                                           ,https://photos.angel.co/startups/i/695142-df9ee72191744f1bfd50b79224c8e923-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/rocketbox                ,http://www.rocketbox.in                                                  ,['https://www.linkedin.com/company/9371472?trk=vsrp_companies_cluster_name&trkinfo=vsrpsearchid%3a803642821431340509712%2cvsrptargetid%3a9371472%2cvsrpcmpt%3acompanies_cluster']                                                                                                              ,['Mumbai']                                           ,11-50 people    ,$1.8M                                                                           ,"['Private Company', 'Transportation', 'Logistics Company', 'Real Time Gps Fleet Monitoring Services', 'Logistics / Transportation / Shipping']                                                                                                                                                     ",                                                ,                                                                                       ,                                                ,
Shadowfax                          ,Premier on-demand logistics services for businesses                                                   ,SDE III-Backend Developer.                                   ,https://photos.angel.co/startups/i/761574-620f5b87bd2efa86da558ee3a7da717b-medium_jpg.jpg ,501-1000 employees ,https://angel.co/company/shadowfax                ,http://shadowfax.in/                                                     ,"['https://twitter.com/shadowfax_in', 'https://www.facebook.com/shadowfax.in/', 'https://www.linkedin.com/company/shadowfax']                                                                                                                                                                 ",['Bengaluru']                                        ,501-1000 people ,$40.8M                                                                          ,"['Startup', 'Technology Provider', 'Supply Chain Management', 'Technology', 'Logistics']                                                                                                                                                                                                           ","['Abhishek Bansal', 'Vaibhav Khandelwal']     ","['https://angel.co/u/abhishek-bansal-13', 'https://angel.co/u/vaibhavkhandelwal']    ","['$40.8M', '4 rounds', 'Series C (Aug 2018)'] ",[]
CARTO                              ,Predict Through Location                                                                              ,Senior Software Engineer / Lead Developer- Remote            ,https://photos.angel.co/startups/i/164997-4a0aaec62f31d6f90e0f3a09afe658af-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/cartodb-1                ,http://www.carto.com                                                     ,"['http://blog.carto.com', 'http://twitter.com/carto', 'https://www.facebook.com/cartodb/', 'https://www.linkedin.com/company/carto', 'https://www.producthunt.com/posts/carto']                                                                                                              ","['New York City', 'Madrid']                        ",51-200 people   ,$31M                                                                            ,"['Startup', 'Internet', 'Software', 'Location Based Services', 'Big Data', 'Cloud Data Services', 'Business Analytics']                                                                                                                                                                            ","['Sergio Álvarez Leiva', 'Javier de la Torre']","['https://angel.co/u/saleiva', 'https://angel.co/u/javier-de-la-torre']              ","['$31M', '2 rounds', 'Series B (Sep 2015)']   ","['Healthcare', 'Opportunity', 'Flexible hours', 'Vision', 'Compensation']"
Vahak (Epictus Logistics Pte. Ltd.),Open Marketplace for Road Transport Suppliers                                                         ,Mobile App Developer                                         ,https://photos.angel.co/startups/i/7339579-8babd3867df4d26520cf0506ce5988eb-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/vahak                    ,https://vahak.in/                                                        ,['https://www.linkedin.com/company/vahak-transport-directory/']                                                                                                                                                                                                                                ,['Bengaluru']                                        ,51-200 people   ,$14M                                                                            ,"['Private Limited ', 'Marketplaces', 'Transportation']                                                                                                                                                                                                                                             ",['Vahak Operations']                            ,['https://angel.co/u/vahak-operations']                                                ,"['$14M', '1 round', 'Series A (Jun 2022)']    ",[]
Topl                               ,blockchain for good                                                                                   ,Developer Advocate                                           ,https://photos.angel.co/startups/i/2449883-f713a9db349fb3e9374eab1d744255d4-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/topl                     ,http://www.topl.co                                                       ,"['https://medium.com/topl-blog', 'https://twitter.com/topl_protocol', 'https://www.facebook.com/topl.protocol', 'https://www.linkedin.com/company/topl']                                                                                                                                     ","['Austin', 'Houston']                              ",11-50 people    ,$20.5M                                                                          ,"['Information Technology', 'Supply Chain Management', 'Agriculture', 'Technology', 'Precious Metal', 'Blockchains', 'Fin Tech', 'Blockchain / Cryptocurrency']                                                                                                                                     ",                                                ,                                                                                       ,                                                ,
Autify                             ,AI-Powered Software Testing Automation Platform                                                       ,"Senior Software Engineer, Backend                          ",https://photos.angel.co/startups/i/2353229-7570cf953b75077a8ae154bd80eb0f8e-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/autify                   ,https://autify.com                                                       ,"['https://blog.autify.com/en/1', 'https://twitter.com/autifyhq', 'https://www.facebook.com/autifyhq', 'https://www.linkedin.com/company/autify/', 'https://www.producthunt.com/posts/autify-for-mobile-2']                                                                                   ","['San Francisco', 'Tokyo']                         ",51-200 people   ,$12.5M                                                                          ,"['Startup', 'SaaS', 'Series A', 'Software Development', 'Artificial Intelligence', 'Software', 'Testing', 'Software Engineering']                                                                                                                                                                  ","['Sam Yamashita', 'Ryo Chikazawa']            ","['https://angel.co/u/samyamashita', 'https://angel.co/u/ryo-chikazawa']              ","['$12.5M', '2 rounds', 'Series A (Oct 2021)'] ","['Healthcare benefits', 'Equity benefits', 'Remote friendly', 'Generous vacation']"
Musixmatch                         ,The Music AI Platform featuring the world's Largest Lyrics DB                                         ,Senior Software Engineer                                     ,https://photos.angel.co/startups/i/27348-ec35cfb1ecc8e6bd2535d2b665df0967-medium_jpg.jpg  ,51-200 employees   ,https://angel.co/company/musixmatch               ,http://www.musixmatch.com                                                ,"['http://blog.musixmatch.com', 'http://twitter.com/musixmatch', 'http://www.facebook.com/musixmatch']                                                                                                                                                                                        ","['London', 'Bologna']                              ",51-200 people   ,$9.4M                                                                           ,"['Startup', 'Mobile', 'Artificial Intelligence', 'Apps', 'Music Services']                                                                                                                                                                                                                         ",                                                ,                                                                                       ,                                                ,
Shazura                            ,Fingerprint Technology: real-world AI Computer Vision: single-sample unsupervised learning            ,Django Developer for Spain                                   ,https://photos.angel.co/startups/i/937127-0dd409a9c6b7dd15407c93a2429da8c7-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/shazura                  ,http://shazura.com                                                       ,"['https://twitter.com/shazura_ai', 'https://www.linkedin.com/company/shazura-inc']                                                                                                                                                                                                           ","['San Francisco', 'Madrid']                        ",11-50 people    ,$3.5M                                                                           ,"['Technology Provider', 'SaaS', 'Artificial Intelligence', 'Software Development', 'Video', 'SaaS', 'Video', 'Machine Learning', 'Artificial Intelligence', 'Visual Search', 'Retail Technology', 'Image Recognition', 'Personalization']                                                          ",['Sira Coba']                                   ,['https://angel.co/u/sira-perez-de-la-coba']                                           ,"['$3.5M', '2 rounds', 'Series A (May 2017)']  ",[]
Townscript                         ,"Platform for organising Virtual, Hybrid and Physical events                                         ",Full Stack Developer (SDE II)                                ,https://photos.angel.co/startups/i/252365-fa1922a2ecf4dced6b09b256713cdb46-medium_jpg.jpg ,11-50 employees    ,https://angel.co/company/townscript               ,http://www.townscript.com                                                ,"['http://blog.townscript.com', 'https://twitter.com/townscript', 'https://www.facebook.com/townscript/', 'https://www.linkedin.com/company/townscript/']                                                                                                                                     ",['Pune']                                             ,11-50 people    ,StartupEarly Stage                                                              ,"['Startup', 'Early Stage', 'Education', 'Events', 'Event Management', 'Events Services']                                                                                                                                                                                                           ","['Sachin Sharma', 'Sanchit Malik']            ","['https://angel.co/u/sachinsharma', 'https://angel.co/u/sanchitmalik']               ","['2 rounds', 'Series A (Feb 2017)']           ",[]
Cado Security                      ,Cloud Investigation Platform                                                                          ,Senior Frontend Engineer                                     ,https://photos.angel.co/startups/i/8055688-d42ee45965346684b902ae9a46578996-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/cado-security            ,https://www.cadosecurity.com                                             ,['https://twitter.com/cadosecurity']                                                                                                                                                                                                                                                           ,['London']                                           ,11-50 people    ,$11.5M                                                                          ,['Cyber Security']                                                                                                                                                                                                                                                                                   ,['Christopher Doman']                           ,['https://angel.co/u/christopher-doman']                                               ,"['$11.5M', '2 rounds', 'Series A (Apr 2021)'] ","['Health insurance', 'Stock options', 'Company meals']"
sokanu.co                          ,The world's leading career advancement platform                                                       ,Software Engineer (Back-End)                                 ,https://photos.angel.co/startups/i/8237094-e5b6ee9746c920dbcdb698d51a717189-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/sokanu-co                ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
Esper                              ,DevOps for Edge Devices                                                                               ,Senior Android Engineer - Solutions Engineering              ,https://photos.angel.co/startups/i/6941071-379804c4db76c826e621554faa9f1d7e-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/esperio                  ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
Alma                               ,Le paiement en plusieurs fois garanti. Simple                                                         ,Senior Front-end Engineer                                    ,https://photos.angel.co/startups/i/7965809-841b45e28ce00d77ea09341b45a26664-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/alma-11                  ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
platform.sh                        ,Continuous Deployment Cloud Hosting                                                                   ,Cloud Engineer                                               ,https://photos.angel.co/startups/i/669976-d475485b500a8564efd350a379125d29-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/platform-sh              ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
Cloudsmith                         ,A fully managed cloud-based artifact management service                                               ,Senior/Staff+ Software Engineer (Experienced)                ,https://photos.angel.co/startups/i/3445424-a0790557f8adee5e92191d87052addac-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/cloudsmith-io            ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
Simfoni                            ,"At Simfoni, we are revolutionizing how businesses spend! See Spend Differently!                     ",Senior Software Engineer                                     ,https://photos.angel.co/startups/i/8132038-e38a5b7d2af00f92cde8ea2a5f77450c-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/simfoni                  ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
Instabase                          ,Instabase is a horizontal application platform designed for automating unstructured data              ,Senior Sales Engineer - NYC                                  ,https://photos.angel.co/startups/i/637366-3a0df25f421344944ffc209ead6cf5f6-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/instabase                ,                                                                         ,                                                                                                                                                                                                                                                                                               ,                                                     ,                ,                                                                                ,                                                                                                                                                                                                                                                                                                     ,                                                ,                                                                                       ,                                                ,
